CustomerID,Age,Gender,Tenure_Months,Recency_Days,Frequency,Monetary_Value,Support_Calls,Churn
CUST_00062,64,Male,44,239,67,8698.64,3,0
CUST_00063,52,Female,5,232,96,2525.62,6,1
CUST_00064,31,Female,29,320,109,14335.41,1,0
CUST_00065,34,Male,4,239,3,277.75,7,1
CUST_00066,53,Male,49,136,109,11306.83,5,0
CUST_00067,67,Male,8,285,30,2859.02,8,0
CUST_00068,57,Female,52,13,64,5993.08,4,0
CUST_00069,21,Female,69,29,70,2798.83,9,0
CUST_00070,19,Male,21,178,114,5342.93,9,0
CUST_00071,23,Male,27,293,91,8490.96,0,0
CUST_00072,59,Male,38,257,2,138.38,6,1
CUST_00073,21,Female,5,108,20,1761.48,3,0
CUST_00074,46,Male,61,69,81,3985.56,9,0
CUST_00075,35,Female,8,176,97,7528.76,3,0
CUST_00076,43,Male,18,183,81,2783.13,2,0
CUST_00077,61,Female,4,242,101,2038.52,4,0
CUST_00078,51,Female,4,194,29,4158.62,5,0
CUST_00079,27,Female,37,319,9,1013.51,2,0
CUST_00080,53,Male,15,22,4,328.95,7,0
CUST_00081,31,Female,38,350,110,9832.52,1,0
CUST_00082,48,Male,27,11,40,3360.34,6,0
CUST_00083,65,Male,48,285,55,7498.66,0,0
CUST_00084,32,Female,46,362,13,1552.74,8,1
CUST_00085,25,Female,46,259,6,353.37,8,1
CUST_00086,31,Male,48,173,110,4890.07,4,0
CUST_00087,40,Male,59,205,73,1750.65,1,0
CUST_00088,57,Female,4,248,26,908.74,5,0
CUST_00089,38,Female,19,259,113,9170.88,9,1
CUST_00090,33,Male,57,330,103,4361.74,4,0
CUST_00091,62,Female,19,270,41,2344.1,3,1
CUST_00092,35,Male,42,81,111,3662.94,1,0
CUST_00093,64,Female,5,321,42,5862.36,4,1
CUST_00094,41,Female,48,188,78,1525.12,7,0
CUST_00095,43,Male,25,338,112,6999.38,1,0
CUST_00096,42,Female,67,231,61,3040.9,6,0
CUST_00097,62,Female,26,28,62,999.49,2,0
CUST_00098,58,Female,62,350,98,13755.35,5,0
CUST_00099,46,Female,7,323,68,3898.92,3,1
CUST_00100,32,Female,44,3,21,1738.95,5,0
CUST_00101,62,Male,27,237,31,2903.21,1,0
CUST_00102,18,Male,42,181,111,10813.04,9,0
CUST_00103,42,Male,56,4,43,3316.81,4,0
CUST_00104,24,Female,3,348,21,1998.51,1,0
CUST_00105,26,Female,13,72,107,12464.19,7,0
CUST_00106,41,Female,70,182,29,4162.43,8,0
CUST_00107,18,Male,59,104,55,5703.5,7,0
CUST_00108,61,Female,38,272,58,4489.26,0,0
CUST_00109,25,Female,68,287,24,1800.52,4,0
CUST_00110,41,Female,69,87,45,4987.38,3,0
CUST_00111,28,Male,1,73,80,7971.98,3,0
CUST_00112,68,Male,50,91,9,645.77,6,0
CUST_00113,34,Female,9,173,85,5129.3,9,0
CUST_00114,25,Female,53,310,66,9838.95,9,1
CUST_00115,52,Male,10,187,2,237.04,3,0
CUST_00116,52,Female,29,236,37,1587.84,0,0
CUST_00117,50,Male,36,162,37,2014.4,2,0
CUST_00118,22,Female,27,73,69,9359.71,7,0
CUST_00119,59,Female,18,225,46,4793.75,9,1
CUST_00120,56,Male,18,230,6,341.71,6,0
CUST_00121,58,Female,9,254,48,3080.08,1,0
CUST_00122,45,Male,67,162,112,7409.08,6,0
CUST_00123,24,Male,7,355,8,321.2,1,0
CUST_00124,26,Female,58,250,32,2688.25,5,0
CUST_00125,25,Male,30,199,101,11953.56,7,1
CUST_00126,29,Male,61,240,77,7018.4,2,0
CUST_00127,51,Male,17,237,67,6937.99,2,0
CUST_00128,50,Male,53,76,73,6962.53,7,0
CUST_00129,65,Male,6,342,68,1560.66,7,0
CUST_00130,40,Male,39,295,28,1130.87,9,1
CUST_00131,41,Female,25,45,40,2491.88,5,0
CUST_00132,54,Male,42,343,16,2160.75,0,0
CUST_00133,52,Female,42,179,57,3538.19,2,0
CUST_00134,61,Male,59,222,75,4437.06,9,0
CUST_00135,57,Male,38,17,55,1423.36,6,0
CUST_00136,39,Male,31,219,83,12137.15,1,0
CUST_00137,44,Female,29,84,106,12731.05,8,0
CUST_00138,52,Female,9,191,86,10182.42,8,1
CUST_00139,18,Female,1,132,39,2605.21,1,0
CUST_00140,52,Male,47,287,76,1944.07,5,0
CUST_00141,54,Female,10,94,55,2781.64,1,0
CUST_00142,64,Male,16,95,30,3904.24,0,0
CUST_00143,31,Male,47,184,104,4091.38,9,0
CUST_00144,20,Female,43,132,42,5700.4,8,0
CUST_00145,18,Male,24,82,5,436.63,4,0
CUST_00146,22,Female,8,340,101,11257.71,0,0
CUST_00147,43,Male,26,296,45,3430.87,6,0
CUST_00148,31,Female,7,360,64,9015.15,2,1
CUST_00149,56,Female,15,112,32,1515.32,5,0
CUST_00150,44,Female,48,303,98,9043.29,3,0
CUST_00151,26,Male,3,306,12,291.97,2,1
CUST_00152,32,Male,16,51,107,8544.77,5,0
CUST_00153,32,Female,14,294,66,9656.88,7,0
CUST_00154,43,Male,3,189,111,2985.65,5,0
CUST_00155,59,Female,70,208,52,4337.2,5,0
CUST_00156,30,Female,31,149,71,6838.11,4,0
CUST_00157,68,Male,17,265,32,4505.14,4,1
CUST_00158,49,Female,49,281,104,5735.7,0,0
CUST_00159,56,Female,3,113,35,2901.39,3,0
CUST_00160,66,Male,55,36,113,16754.67,7,0
CUST_00161,69,Male,40,111,116,13782.84,5,0
CUST_00162,49,Male,66,171,6,746.44,6,0
CUST_00163,21,Male,40,78,22,2648.12,8,0
CUST_00164,47,Female,30,337,89,7525.44,7,1
CUST_00165,54,Male,25,28,47,3460.98,3,0
CUST_00166,40,Female,7,45,13,642.2,6,0
CUST_00167,56,Male,50,361,23,1791.83,2,0
CUST_00168,62,Female,1,304,109,1936.69,4,0
CUST_00169,32,Female,44,142,44,1236.84,2,0
CUST_00170,60,Male,49,15,110,5915.78,6,0
CUST_00171,46,Male,7,128,9,540.36,2,0
CUST_00172,53,Female,3,167,106,11714.57,7,1
CUST_00173,30,Female,1,153,59,2251.81,9,1
CUST_00174,49,Male,51,63,101,12365.36,7,0
CUST_00175,24,Male,38,59,117,14403.66,5,0
CUST_00176,68,Male,43,203,101,9519.26,8,0
CUST_00177,39,Male,55,157,117,9518.19,1,0
CUST_00178,45,Female,57,3,30,2342.97,5,0
CUST_00179,19,Female,53,39,84,6028.91,3,0
CUST_00180,59,Male,33,278,102,2749.68,6,1
CUST_00181,62,Female,62,101,44,4553.33,0,0
CUST_00182,23,Male,11,169,49,4553.82,3,0
CUST_00183,45,Female,52,20,16,274.06,9,0
CUST_00184,45,Male,1,141,114,4829.49,3,0
CUST_00185,61,Male,14,347,86,6355.73,5,1
CUST_00186,61,Male,21,275,102,13941.01,9,1
CUST_00187,37,Male,34,322,74,11002.88,5,1
CUST_00188,47,Female,14,193,84,9780.04,5,0
CUST_00189,28,Female,40,152,53,6156.54,3,0
CUST_00190,45,Male,35,236,105,7461.52,4,0
CUST_00191,42,Female,42,294,2,184.16,7,1
CUST_00192,56,Male,20,208,67,3110.83,2,0
CUST_00193,50,Female,60,37,42,4815.32,5,0
CUST_00194,18,Male,9,78,64,1476.54,0,0
CUST_00195,44,Male,33,172,8,570.63,9,1
CUST_00196,69,Male,49,45,73,9288.07,5,0
CUST_00197,30,Female,68,337,92,13549.86,8,1
CUST_00198,58,Female,4,84,21,2289.74,7,0
CUST_00199,20,Male,48,93,115,4787.55,4,0
CUST_00200,56,Male,16,154,97,8933.21,6,0
CUST_00201,23,Male,47,106,60,5440.15,4,0
CUST_00202,25,Female,26,358,34,4942.86,2,0
CUST_00203,44,Female,70,209,116,14897.32,8,0
CUST_00204,26,Male,37,204,4,86.47,6,0
CUST_00205,54,Male,22,248,112,5007.81,7,0
CUST_00206,50,Female,7,348,117,15053.19,6,0
CUST_00207,68,Male,42,352,89,13019.25,6,1
CUST_00208,59,Male,30,226,62,3396.41,7,1
CUST_00209,61,Male,6,336,96,10391.85,7,1
CUST_00210,41,Male,24,48,76,4298.05,5,0
CUST_00211,32,Female,66,246,2,41.1,3,0
CUST_00212,49,Female,40,31,111,14094.76,4,0
CUST_00213,49,Male,15,183,50,5737.23,5,0
CUST_00214,41,Female,53,257,112,2485.95,8,1
CUST_00215,58,Male,5,126,117,4052.57,4,0
CUST_00216,69,Female,36,219,76,11395.21,8,1
CUST_00217,66,Female,46,245,114,11725.22,8,0
CUST_00218,66,Female,23,139,110,13536.4,7,0
CUST_00219,69,Male,45,227,26,1754.07,9,1
CUST_00220,29,Male,10,302,85,7221.88,5,0
CUST_00221,56,Male,54,257,108,10657.87,0,0
CUST_00222,19,Female,70,255,37,4581.07,4,0
CUST_00223,20,Male,32,70,55,3341.38,2,0
CUST_00224,66,Female,43,66,100,10575.55,8,0
CUST_00225,54,Female,15,2,18,2154.85,3,0
CUST_00226,66,Female,66,325,24,2968.63,6,0
CUST_00227,34,Female,15,269,30,2471.93,5,0
CUST_00228,66,Male,20,339,17,1341.37,5,1
CUST_00229,19,Male,50,303,80,2328.95,4,0
CUST_00230,19,Male,6,129,42,3452.1,0,0
CUST_00231,45,Female,17,146,81,8890.64,2,0
CUST_00232,40,Male,26,113,108,15042.17,4,0
CUST_00233,54,Female,22,288,12,382.82,1,0
CUST_00234,49,Male,64,96,27,3936.59,1,0
CUST_00235,50,Male,58,267,55,2562.99,3,0
CUST_00236,18,Female,37,8,4,154.97,6,0
CUST_00237,36,Male,28,220,35,1066.1,0,0
CUST_00238,19,Male,49,213,65,9663.45,8,1
CUST_00239,61,Female,67,102,76,6896.05,0,0
CUST_00240,43,Male,67,166,29,1494.4,7,0
CUST_00241,49,Male,41,262,72,4166.43,5,0
CUST_00242,23,Male,46,2,72,10316.64,0,0
CUST_00243,49,Female,55,202,76,10373.68,6,0
CUST_00244,21,Female,11,329,36,2240.92,1,0
CUST_00245,28,Female,26,183,112,2641.41,0,0
CUST_00246,34,Male,13,259,34,4335.87,7,0
CUST_00247,55,Male,36,322,36,4984.09,1,0
CUST_00248,41,Male,64,228,55,7043.68,8,1
CUST_00249,22,Female,51,200,4,553.01,5,1
CUST_00250,69,Male,22,26,11,1020.21,0,0
CUST_00251,51,Male,60,350,59,7572.88,7,1
CUST_00252,23,Female,2,102,3,427.28,6,0
CUST_00253,39,Female,56,136,74,10000.13,0,0
CUST_00254,28,Male,40,331,12,1131.23,7,1
CUST_00255,65,Male,28,345,113,13083.33,1,0
CUST_00256,33,Male,3,197,73,8203.44,7,0
CUST_00257,50,Male,63,30,21,2591.4,8,0
CUST_00258,26,Female,23,299,98,4497.68,4,0
CUST_00259,23,Female,55,133,22,336.47,4,0
CUST_00260,33,Female,32,256,18,1509.06,6,1
CUST_00261,46,Male,28,20,108,12781.73,0,0
CUST_00262,20,Male,8,308,6,191.35,4,1
CUST_00263,37,Male,3,21,89,7736.44,0,0
CUST_00264,53,Male,53,41,114,6548.75,7,0
CUST_00265,36,Female,29,364,109,13969.71,7,0
CUST_00266,43,Male,59,152,79,2254.21,0,0
CUST_00267,20,Male,24,308,65,8415.27,1,0
CUST_00268,36,Male,38,2,55,5359.95,6,0
CUST_00269,37,Male,28,44,40,5565.0,6,0
CUST_00270,49,Male,62,41,82,11587.39,8,0
CUST_00271,24,Female,51,326,52,6458.32,2,0
CUST_00272,69,Male,7,263,44,3808.85,1,0
CUST_00273,58,Female,23,294,95,3253.32,9,1
CUST_00274,50,Male,46,173,62,2816.8,7,0
CUST_00275,57,Male,28,9,84,5997.31,6,0
CUST_00276,56,Female,24,53,108,12249.13,2,0
CUST_00277,35,Male,7,284,89,7881.42,2,0
CUST_00278,57,Female,49,128,97,7194.57,6,0
CUST_00279,18,Male,3,19,74,5880.57,4,0
CUST_00280,28,Female,2,132,29,3337.92,8,1
CUST_00281,45,Female,7,13,119,2336.94,9,0
CUST_00282,42,Female,21,220,19,1420.35,6,0
CUST_00283,67,Female,9,267,28,2584.82,0,0
CUST_00284,40,Female,12,245,91,8597.34,0,0
CUST_00285,48,Male,24,258,19,1871.93,5,0
CUST_00286,47,Female,33,140,107,2377.08,4,0
CUST_00287,59,Female,43,247,119,10748.43,4,0
CUST_00288,52,Male,5,232,31,2769.05,7,1
CUST_00289,24,Male,71,56,54,7041.88,7,0
CUST_00290,33,Female,14,88,99,11643.43,8,0
CUST_00291,43,Female,36,254,62,1191.37,3,0
CUST_00292,65,Male,35,52,14,1260.68,4,0
CUST_00293,69,Female,50,247,50,5413.87,6,0
CUST_00294,66,Male,11,252,59,5505.84,2,0
CUST_00295,19,Male,24,125,70,7441.69,5,0
CUST_00296,18,Female,44,201,58,1783.42,2,0
CUST_00297,65,Male,51,361,119,4503.87,3,0
CUST_00298,29,Female,17,132,9,843.03,9,0
CUST_00299,22,Male,70,177,57,7016.28,7,0
CUST_00300,54,Male,8,52,41,758.85,9,1
CUST_00301,49,Male,28,34,27,1995.1,3,0
CUST_00302,26,Female,12,22,58,8637.78,3,0
CUST_00303,58,Male,43,141,81,9588.43,6,0
CUST_00304,52,Male,37,319,100,7577.52,2,0
CUST_00305,36,Male,63,271,68,1920.01,2,0
CUST_00306,65,Male,63,168,58,3682.4,0,0
CUST_00307,33,Male,10,38,24,860.35,6,0
CUST_00308,20,Male,37,361,115,16020.09,3,0
CUST_00309,37,Female,11,246,80,8604.96,6,1
CUST_00310,41,Male,19,235,62,8092.19,1,0
CUST_00311,50,Female,52,55,81,11028.77,4,0
CUST_00312,41,Female,18,120,67,6494.32,6,1
CUST_00313,69,Male,32,66,118,1875.11,8,0
CUST_00314,28,Male,23,322,103,9277.18,9,1
CUST_00315,66,Female,12,328,101,12457.02,3,0
CUST_00316,25,Female,58,166,117,6722.37,5,0
CUST_00317,53,Male,21,210,3,420.74,2,0
CUST_00318,55,Female,21,75,108,16153.62,1,0
CUST_00319,57,Male,29,134,51,4546.68,9,0
CUST_00320,37,Male,47,265,105,9105.34,1,0
CUST_00321,52,Male,12,174,99,10241.61,4,0
CUST_00322,65,Female,58,243,67,6127.53,2,0
CUST_00323,42,Female,41,89,80,2932.92,1,0
CUST_00324,52,Female,19,250,57,2941.18,1,0
CUST_00325,42,Male,12,31,20,844.83,2,0
CUST_00326,46,Female,23,277,45,1113.16,0,0
CUST_00327,35,Male,5,38,6,203.72,7,0
CUST_00328,63,Female,26,308,33,4826.72,8,0
CUST_00329,35,Male,63,138,43,3866.66,0,0
CUST_00330,19,Male,52,76,50,1599.85,4,0
CUST_00331,52,Male,10,339,27,3004.23,7,1
CUST_00332,33,Female,39,253,30,2380.99,1,0
CUST_00333,58,Male,23,79,99,4487.73,0,0
CUST_00334,53,Male,11,38,18,2562.88,4,0
CUST_00335,50,Male,48,318,30,1359.4,0,0
CUST_00336,21,Female,16,328,107,3014.68,5,0
CUST_00337,50,Female,46,163,90,3850.14,8,0
CUST_00338,31,Female,47,358,15,2071.65,7,1
CUST_00339,38,Male,48,128,96,12557.03,5,0
CUST_00340,65,Male,69,158,99,13437.65,3,0
CUST_00341,37,Female,25,329,76,10540.0,6,1
CUST_00342,25,Male,37,319,62,1578.66,5,0
CUST_00343,24,Male,63,83,21,2331.63,6,0
CUST_00344,20,Male,29,217,12,1256.52,1,0
CUST_00345,34,Female,58,202,49,7303.09,6,0
CUST_00346,50,Male,31,278,1,111.48,9,1
CUST_00347,65,Female,68,152,75,9144.32,3,0
CUST_00348,29,Female,41,26,55,6133.77,4,0
CUST_00349,68,Male,50,343,25,2469.46,6,0
CUST_00350,39,Male,44,254,47,4213.93,9,1
CUST_00351,39,Female,9,251,73,10647.06,1,0
CUST_00352,63,Female,59,167,39,5514.84,0,0
CUST_00353,47,Female,27,353,107,7929.75,4,0
CUST_00354,55,Female,59,140,27,1440.74,9,1
CUST_00355,55,Male,3,229,93,7786.37,0,0
CUST_00356,62,Female,7,73,50,5786.27,5,0
CUST_00357,68,Male,16,299,91,6290.64,1,0
CUST_00358,25,Female,49,236,55,4813.94,1,0
CUST_00359,44,Female,32,195,28,1549.11,3,0
CUST_00360,44,Female,44,88,57,4146.19,9,0
CUST_00361,51,Female,19,97,103,14856.19,1,0
CUST_00362,38,Female,3,166,82,3608.48,8,0
CUST_00363,47,Male,60,296,79,11729.85,2,0
CUST_00364,50,Female,35,203,16,705.57,7,1
CUST_00365,45,Male,29,187,111,6448.75,6,0
CUST_00366,64,Female,70,275,87,2328.75,6,0
CUST_00367,50,Male,45,20,94,10954.09,3,0
CUST_00368,22,Male,27,73,100,1738.07,3,0
CUST_00369,65,Female,69,338,56,6796.08,0,0
CUST_00370,36,Female,35,361,35,3251.95,7,1
CUST_00371,21,Male,19,310,28,3250.34,0,0
CUST_00372,52,Female,17,82,46,5553.18,3,0
CUST_00373,66,Female,35,296,117,3719.62,2,0
CUST_00374,34,Female,30,356,67,1198.48,0,0
CUST_00375,61,Male,48,27,119,4496.23,6,0
CUST_00376,45,Female,57,141,16,1069.59,6,0
CUST_00377,47,Female,17,47,79,1966.92,1,0
CUST_00378,46,Male,15,112,83,6362.77,9,1
CUST_00379,63,Female,14,235,74,3958.04,4,1
CUST_00380,23,Female,14,151,117,7501.77,7,0
CUST_00381,52,Female,45,315,49,6955.53,0,0
CUST_00382,58,Male,38,333,68,7668.81,8,1
CUST_00383,54,Male,63,126,22,2284.74,6,0
CUST_00384,41,Female,11,7,18,1858.16,6,0
CUST_00385,46,Male,48,50,22,1979.48,1,0
CUST_00386,66,Female,26,360,106,8930.75,7,1
CUST_00387,63,Male,67,66,119,15956.78,2,0
CUST_00388,48,Male,25,362,16,402.0,9,1
CUST_00389,52,Male,61,167,56,3021.21,6,0
CUST_00390,50,Female,26,252,3,87.17,2,0
CUST_00391,69,Male,34,263,108,1781.15,5,0
CUST_00392,38,Female,9,196,115,1940.29,0,0
CUST_00393,49,Female,40,183,53,966.79,3,0
CUST_00394,40,Female,7,264,35,3746.21,8,1
CUST_00395,50,Female,30,288,105,3154.17,6,0
CUST_00396,20,Male,66,275,103,4359.5,6,0
CUST_00397,35,Male,30,118,80,5725.03,3,0
CUST_00398,42,Male,68,313,85,4364.65,9,0
CUST_00399,59,Female,58,347,21,2630.34,0,0
CUST_00400,48,Female,55,277,65,6445.81,0,0
CUST_00401,20,Male,14,132,57,3419.81,2,0
CUST_00402,57,Male,37,147,94,5442.67,6,0
CUST_00403,63,Female,44,29,47,5043.04,6,0
CUST_00404,41,Male,6,327,34,1293.38,4,1
CUST_00405,67,Female,26,320,48,2537.94,8,1
CUST_00406,49,Male,14,225,39,2445.83,1,0
CUST_00407,64,Female,8,139,110,8401.49,8,1
CUST_00408,39,Male,24,289,87,3542.8,8,1
CUST_00409,40,Male,39,281,98,3550.19,5,1
CUST_00410,19,Male,49,26,30,4459.34,3,0
CUST_00411,44,Male,63,292,50,6914.09,4,0
CUST_00412,59,Male,26,267,97,8311.78,5,1
CUST_00413,19,Male,10,286,16,1893.59,3,0
CUST_00414,43,Female,58,313,105,11129.0,8,0
CUST_00415,34,Male,14,97,94,2363.2,1,0
CUST_00416,57,Female,71,138,3,254.75,7,0
CUST_00417,50,Male,39,281,109,4341.37,8,1
CUST_00418,26,Female,31,96,61,5724.72,3,0
CUST_00419,60,Female,50,57,2,46.68,8,0
CUST_00420,65,Male,16,123,26,961.81,1,0
CUST_00421,56,Male,51,231,18,2169.57,2,0
CUST_00422,46,Male,15,290,66,8503.33,9,1
CUST_00423,59,Male,38,86,40,5500.29,4,0
CUST_00424,43,Female,71,310,3,408.17,3,0
CUST_00425,52,Female,21,51,17,2336.63,2,0
CUST_00426,67,Female,16,228,24,666.86,3,0
CUST_00427,42,Female,67,6,2,208.06,8,0
CUST_00428,41,Female,65,310,70,7674.96,8,1
CUST_00429,30,Female,13,273,40,2048.25,4,0
CUST_00430,24,Female,64,344,26,3875.19,6,0
CUST_00431,53,Female,61,2,57,3054.45,7,0
CUST_00432,62,Male,32,276,49,4537.88,1,0
CUST_00433,37,Male,12,91,57,7567.77,8,0
CUST_00434,18,Female,41,262,56,3026.25,8,0
CUST_00435,25,Male,66,242,70,6781.48,1,0
CUST_00436,63,Male,8,246,76,8527.35,5,1
CUST_00437,33,Male,59,79,21,2091.72,3,0
CUST_00438,31,Male,25,311,16,1116.88,0,0
CUST_00439,29,Female,5,304,6,855.25,4,1
CUST_00440,68,Male,45,58,34,3320.5,2,0
CUST_00441,40,Female,2,225,59,2672.03,0,0
CUST_00442,32,Female,42,202,67,8296.44,1,0
CUST_00443,45,Male,38,6,41,4245.29,6,0
CUST_00444,51,Female,3,30,19,565.91,0,0
CUST_00445,19,Female,46,151,29,1523.93,2,0
CUST_00446,49,Male,22,36,32,1163.16,0,0
CUST_00447,40,Male,33,110,10,248.11,0,0
CUST_00448,39,Male,32,121,64,2948.93,7,0
CUST_00449,68,Female,17,241,119,6253.29,5,0
CUST_00450,42,Female,56,259,91,7096.26,3,0
CUST_00451,39,Male,3,90,93,13564.1,7,0
CUST_00452,39,Male,70,30,77,10960.28,6,0
CUST_00453,66,Male,49,237,20,2334.94,8,0
CUST_00454,69,Female,55,170,28,2863.81,0,0
CUST_00455,59,Male,31,149,27,3857.81,9,0
CUST_00456,23,Female,21,88,77,2635.74,4,0
CUST_00457,32,Male,16,4,25,1489.87,5,0
CUST_00458,60,Female,17,252,29,2601.28,5,0
CUST_00459,54,Female,1,51,116,14486.21,9,0
CUST_00460,50,Female,65,24,15,1488.17,6,0
CUST_00461,25,Male,66,46,45,5588.88,4,0
CUST_00462,61,Female,37,116,45,1604.93,4,0
CUST_00463,61,Male,24,27,30,1230.58,0,0
CUST_00464,22,Male,62,95,38,4369.1,9,0
CUST_00465,56,Female,21,99,60,3721.36,4,0
CUST_00466,21,Female,37,116,32,2363.93,9,1
CUST_00467,23,Female,35,276,50,6093.74,0,0
CUST_00468,62,Male,38,336,71,1736.3,9,0
CUST_00469,49,Female,53,95,35,1318.7,1,0
CUST_00470,69,Female,15,199,97,5328.64,0,0
CUST_00471,47,Female,42,146,76,10204.64,7,0
CUST_00472,64,Female,4,155,87,6060.33,7,1
CUST_00473,52,Female,39,270,5,245.17,7,1
CUST_00474,57,Male,23,321,107,11404.88,9,1
CUST_00475,69,Female,15,276,108,2061.63,9,1
CUST_00476,33,Female,12,326,119,14237.09,0,0
CUST_00477,30,Female,70,256,31,3385.68,3,0
CUST_00478,67,Male,54,45,80,1794.9,0,0
CUST_00479,59,Male,38,1,97,7976.69,3,0
CUST_00480,47,Male,28,147,53,3686.7,6,0
CUST_00481,36,Female,19,295,114,4143.76,9,1
CUST_00482,34,Female,69,155,1,35.8,6,0
CUST_00483,36,Male,64,56,86,3149.9,0,0
CUST_00484,45,Female,4,226,92,8827.81,9,1
CUST_00485,43,Female,10,7,69,2628.86,1,0
CUST_00486,54,Female,12,20,68,1567.09,5,0
CUST_00487,43,Male,69,159,65,9377.74,5,0
CUST_00488,40,Female,7,340,15,304.32,0,0
CUST_00489,26,Male,44,79,101,10567.22,3,0
CUST_00490,29,Female,23,1,103,14560.54,8,0
CUST_00491,18,Male,2,336,113,2273.7,7,1
CUST_00492,18,Male,37,229,52,7559.44,3,0
CUST_00493,64,Female,69,213,38,3147.0,2,0
CUST_00494,51,Male,20,283,109,13187.53,7,1
CUST_00495,49,Male,44,248,24,2385.4,8,1
CUST_00496,65,Female,70,119,23,2260.31,0,0
CUST_00497,42,Female,51,227,47,5709.67,9,0
CUST_00498,57,Female,31,24,7,166.84,7,0
CUST_00499,62,Male,41,190,31,2107.15,4,0
CUST_00500,18,Male,58,308,7,1021.24,2,0
CUST_00501,33,Male,5,307,77,1722.43,9,1
CUST_00502,56,Male,33,57,4,201.91,4,0
CUST_00503,22,Female,43,311,54,5709.66,9,1
CUST_00504,39,Male,19,309,82,2341.82,3,0
CUST_00505,46,Male,32,89,104,9094.9,0,0
CUST_00506,20,Male,3,275,83,9238.32,7,0
CUST_00507,29,Male,1,109,80,9380.14,6,0
CUST_00508,43,Female,41,141,52,4719.55,3,0
CUST_00509,33,Female,48,285,82,6771.98,3,0
CUST_00510,68,Male,39,244,80,8910.0,4,0
CUST_00511,54,Male,5,74,48,1659.99,0,0
CUST_00512,39,Male,11,355,95,10152.64,3,0
CUST_00513,46,Female,22,262,89,12379.73,4,0
CUST_00514,31,Female,64,176,66,7073.33,7,0
CUST_00515,45,Male,12,230,110,2340.58,0,0
CUST_00516,22,Female,53,76,54,4498.64,3,0
